"","region","perc_agr","SL_c","DL_c","IRF_c","ORF_c","RC_c","TRF_c","SRS_c","RS_c","PL_c","BRS_c","SL_o","DL_o","IRF_o","ORF_o","RC_o","TRF_o","SRS_o","RS_o","PL_o","BRS_o","perc_agr_025","SL_c_025","DL_c_025","IRF_c_025","ORF_c_025","RC_c_025","TRF_c_025","SRS_c_025","RS_c_025","PL_c_025","BRS_c_025","SL_o_025","DL_o_025","IRF_o_025","ORF_o_025","RC_o_025","TRF_o_025","SRS_o_025","RS_o_025","PL_o_025","BRS_o_025","perc_agr_975","SL_c_975","DL_c_975","IRF_c_975","ORF_c_975","RC_c_975","TRF_c_975","SRS_c_975","RS_c_975","PL_c_975","BRS_c_975","SL_o_975","DL_o_975","IRF_o_975","ORF_o_975","RC_o_975","TRF_o_975","SRS_o_975","RS_o_975","PL_o_975","BRS_o_975","perc_agr_05","SL_c_05","DL_c_05","IRF_c_05","ORF_c_05","RC_c_05","TRF_c_05","SRS_c_05","RS_c_05","PL_c_05","BRS_c_05","SL_o_05","DL_o_05","IRF_o_05","ORF_o_05","RC_o_05","TRF_o_05","SRS_o_05","RS_o_05","PL_o_05","BRS_o_05"
"1","swp",0.563807491702229,0.280018116897665,0.703969511914442,0.317896881925334,0.605275666925866,0.19004844026269,0.306426285433583,0.685294550540577,0.254485536507067,0.148770645104536,0.626216326755702,0.340092175122646,0.409240342205584,0.306080430348205,0.226819302643733,0.491960063827718,0.611894340986542,0.843041036524477,0.496985989793167,0.139722750706881,0.453765805980889,0.551647700331911,0.311669026796552,0.755555555555556,0.355977588806261,0.633193741314274,0.226527417001744,0.347362110311751,0.747987288135593,0.29806543954691,0.185365604575163,0.665744874761915,0.372144440846018,0.488372093023256,0.339049586776859,0.249635074145713,0.522960331132166,0.644652421129861,0.873630945355836,0.530030712530713,0.174107142857143,0.498852657004831,0.575154101469891,0.253387569917315,0.658637802071346,0.28562736501692,0.58416586998088,0.151619318181818,0.255257566334992,0.639583333333333,0.22011617540536,0.119701213818861,0.594413263103359,0.311952554744526,0.333333333333333,0.273951048951049,0.197229064039409,0.450426298924239,0.57827440108798,0.818147964250248,0.456597222222222,0.105354166666667,0.420101063829787,0.552868658131816,0.307147303227413,0.750140449438202,0.347363402148091,0.628576680672269,0.218315672058003,0.3379914004914,0.736688311688312,0.290793373557743,0.177087613568918,0.653912466843501,0.367477760334903,0.485818815331011,0.33339670468948,0.247021399652979,0.521585813608312,0.64175949042955,0.868797310441071,0.527698589099343,0.163628120538643,0.495078867492661
"2","wmic",0.771340271207821,0.0398578362222599,0.249571199365792,0.139830474084522,0.31703856943284,0.228520985794504,0.0720307798744302,0.378858627025321,0.0830584076439713,0.0154432305108448,0.995683636233838,0.195480803648512,0.0832629863752085,0.174390287550394,0.152747405048492,0.211340747691409,0.139993352127767,0.590587627516101,0.399197044107062,0.00941392077306324,0,0.763000630715863,0.0500339548092357,0.288451064532101,0.157024370026525,0.336161679461068,0.253204855405043,0.0871648659463786,0.410262465761952,0.0983697736862295,0.0216629867523084,0.995943599618182,0.213272956654952,0.1112895256917,0.192454905063291,0.176602233133248,0.232478848689794,0.157608695652174,0.614788879598662,0.42243630373883,0.0153399200188191,0,0.778784295175024,0.0289780794985759,0.204588924712443,0.119408241792342,0.294890488110138,0.206840728715729,0.0587108364472549,0.344645316804408,0.0670260865252683,0.00869565217391299,0.995357788879797,0.172153083897789,0.057020905923345,0.15343046325074,0.130590328060599,0.191982886904762,0.119378156565657,0.560044788939791,0.37070287890997,0.00299290881870418,0,0.763796909492274,0.0486752326096588,0.28055737436569,0.155618517898963,0.334778021901374,0.252528562653563,0.0854738673322745,0.407577030812325,0.0955097153929113,0.0211480362537765,0.995934959349594,0.212267381752391,0.103257808499744,0.19095871629513,0.174159314533861,0.229246794871795,0.156601574101574,0.613701529317968,0.420016483516484,0.014719091229306,0
"3","nth_cari",0.572791652411906,0.546604881891825,0.35069262832555,0.261093873561129,0.532628672073561,0.146023252578978,0.41883513676838,0.611629469609211,0.414702730659026,0.236805920337116,0.46977721309201,0.319132308668402,0.0418377051053159,0.468709293317062,0.402112985111644,0.527107805359507,0.419771212758401,0.458870299547254,0.935998737721749,0.606360980744628,0.328749376379583,0.561914129319193,0.57175383077948,0.378105190585924,0.289675848345203,0.559,0.17561649113794,0.45469437969438,0.651381578947368,0.509051724137931,0.289161779081134,0.500934163701068,0.348600990666448,0.0529333934130756,0.498204490657022,0.433605405405405,0.554364532590339,0.44622168989547,0.501693548387097,0.954384559735428,0.645923682616596,0.363659061755543,0.582278481012658,0.523162115905111,0.32612825236012,0.233196567745803,0.503116507544876,0.124037955243528,0.382262798404004,0.575738206127428,0.327083333333333,0.173155737704918,0.439705999920054,0.286646714892346,0.0298295960856111,0.444955609362389,0.373874458874459,0.500607416879795,0.390370749510415,0.410400066863543,0.922747252747253,0.56297123015873,0.293549657534247,0.562435853575094,0.566239778739779,0.373280606417223,0.287743055555556,0.557378760395633,0.170609885404347,0.448335936561336,0.648275954239282,0.5,0.285812133072407,0.494702602230483,0.341272387062283,0.0526388888888889,0.49373499150739,0.430117850248908,0.551802905653772,0.443321513002364,0.5,0.952174779144292,0.641034221860086,0.358889386475593
"4","eaf",0.682325809617272,0.0825204984503303,0.313031193960638,0.200980497297172,0.430782259769371,0.0341279599539556,0.147083283718476,0.627937339340475,0.28702755020523,0.2315,0.550979435780409,0.20165433248578,0.135348167813548,0.266038483001481,0.198752194110212,0.208339423239581,0.264423520413706,0.853395795659381,0.466802190841368,0.608800671550672,0.180663018959158,0.670191364082434,0.104487635652019,0.359536474164134,0.230037878787879,0.458978036355754,0.0484322967965856,0.169915836482309,0.68233282674772,0.325639072847682,0.4,0.581000289519398,0.232443538225072,0.168674698795181,0.296232411067194,0.223354144398018,0.235780165289256,0.298638299582128,0.879287310532452,0.507876943881001,0.777777777777778,0.204774214970117,0.695080961727184,0.0607834873565554,0.264406922043011,0.168167152695911,0.401307382457115,0.0199407871821664,0.116620234604106,0.583643057503506,0.252372369854975,0,0.523400852878465,0.175667282189021,0.0958427177177177,0.23736161384303,0.171594930655189,0.177399267399267,0.230826271186441,0.828120710363761,0.426353860539674,0.449242424242424,0.14938960502921,0.673650637880275,0.100961538461538,0.350746700067444,0.224726445928663,0.456743205697314,0.045477736549165,0.168145728227607,0.672936546974914,0.324147250698975,0.4,0.573670756888899,0.224803900784397,0.166666666666667,0.29155722326454,0.220857240437158,0.233360215053763,0.295165267226443,0.874646781789639,0.505211074561404,0.728409090909091,0.202292304036594
"5","hawaii",0.674995,0.0218338671852153,0.234471546275082,0.0506268631266755,0.575037771035105,0.10949394454947,0.0125622718211437,0.588560444544675,0.76273242927299,0.0830854305025904,0.927049487277428,0.280634527481632,0.0504318058297512,0.232460327170486,0.0676508686543092,0.13257540339107,0.800946270741847,0.754212289137289,0.669416723262818,0.0905454161942612,0,0.6627375,0.0346932638331996,0.259399731079524,0.0651328314295604,0.599287804586718,0.133754425490827,0.0219927536231884,0.636435532233883,0.797175957676105,0.106072439266419,0.947361111111111,0.312139423076923,0.0662130572716647,0.256750902527076,0.0849026252573781,0.15472438701221,0.827807971014493,0.782743235463443,0.71698286782892,0.117682778722371,0,0.6867625,0.0105754146122814,0.209845383275261,0.0356920622257679,0.547913970437981,0.0892491340920337,0,0.53736013986014,0.726979360645562,0.0603854585312387,0.9,0.24901185770751,0.0347658391786883,0.20432344854674,0.05062589501753,0.108491586538461,0.773234200743494,0.725005813277526,0.622151639344262,0.0626867138364779,0,0.66545,0.0324774774774775,0.25820979020979,0.0628086764198608,0.596290700981089,0.129219649310668,0.0217391304347826,0.628384136348738,0.79275527293662,0.101858101977862,0.944444444444444,0.309674174307843,0.0645511921458627,0.256149217809868,0.0837492894699446,0.153572908649577,0.825110145452351,0.780765956314683,0.706416361416361,0.110719502127389,0
"6","wio",0.732468421052632,0.127987846995229,0.471778301352633,0.186755294545287,0.465348619541973,0.140102201771643,0.22803388322591,0.518366359903059,0.163752031831478,0.0184026643373713,0.349832894391694,0.095644545453266,0.451774027808507,0.290191079803327,0.226736506001805,0.309054407984143,0.330184544690484,0.646378857035014,0.438379710827865,0,0.0826292576894018,0.719171052631579,0.151282145122725,0.577678571428571,0.213111761511074,0.489799749687109,0.167355766903828,0.261671091445428,0.57019930918596,0.206821967243453,0.0301803394625177,0.378099617556001,0.115122624156959,0.55,0.328858495977181,0.253052733714588,0.338547585227273,0.368762159533074,0.692897248736665,0.485676062091503,0,0.104073544196118,0.743684210526316,0.105448232885249,0.353392857142857,0.162302036199095,0.432400830876441,0.118203090013435,0.190470852017937,0.464095159515952,0.124419247787611,0,0.317884820403477,0.0760056202328382,0.34125,0.257996794871795,0.197133530308807,0.28103571951398,0.294885026821847,0.605348191908342,0.385512033978292,0,0.0616611137553545,0.722026315789474,0.14859437751004,0.560571428571428,0.208300936842776,0.488776392147179,0.161394123283296,0.256106685489563,0.563695286195286,0.20209478021978,0.0294117647058824,0.375514316799367,0.112523535564854,0.545454545454545,0.322750175767518,0.25,0.331959195290382,0.355723251643754,0.676205617382088,0.480519480519481,0,0.102582956259427
"7","andm",0.691018022406235,0.141583898171591,0.301979516011895,0.267476634989275,0.441085054249031,0.088311345930926,0.514223160945612,0.150975649964336,0.319743113219088,0.157774747737399,0.553243378587188,0.113111880109422,0.848550231425161,0.118978573165112,0.358080258877286,0.680877073463554,0.237456499687263,0.0540578937270805,0.468652944201627,0.13222608114231,0.458552328594704,0.679980516317584,0.161628959276018,0.396607142857143,0.29428650617675,0.473928571428571,0.126682692307692,0.539911234764176,0.17400623025623,0.364884135472371,0.183385012919897,0.593275961856466,0.131905452121475,0.886475477627988,0.139830508474576,0.397054206214587,0.721308876811594,0.272892857142857,0.0721165398478174,0.50773978791825,0.158658739705746,0.496817277635692,0.704846566000974,0.119771739130435,0.2,0.240222902097902,0.403772530693989,0.0509253246753247,0.4826354056902,0.127603286684306,0.267213212025317,0.126348490601861,0.507810677372976,0.0938631857237278,0.816890878616796,0.0950233082321603,0.324304402711489,0.641376173957188,0.208810510981623,0.0338863750628456,0.426608329641117,0.106036527816749,0.414594192107223,0.680930345835363,0.159726293791542,0.391304347826087,0.289539007092199,0.470825992113432,0.116629499840714,0.538485502036904,0.172955069124424,0.359558823529412,0.177970967139656,0.587095875139353,0.128497845759351,0.884632402995235,0.136565348531054,0.392257409518381,0.71830985915493,0.268868407578085,0.0668169398907104,0.502836013030685,0.152590187590188,0.49352252685586
"8","timor",0.705988341282459,0.167848744616013,0.286716882959035,0.220262213333903,0.251500158087905,0.0265948622745602,0.478466881957783,0.359569484154508,0.425893372119168,0.231826588554424,0.372562818511803,0.409448959905066,0.0265924879272634,0.294830518630855,0.226457771177363,0.302479884571715,0.00761807896156419,0.841076200576877,0.354374079717382,0.242929795458879,0.242594913611644,0.693667196608373,0.20996946098641,0.3229069931883,0.24419006459995,0.284909060746818,0.0392214864101437,0.510048295454545,0.454110105580694,0.462839508760164,0.301978609625668,0.403159945781091,0.443595125947164,0.0385918114143919,0.328725228658536,0.254000884173298,0.332976796977889,0.0118343195266272,0.875062704997106,0.394973197393315,0.313707037643208,0.274369554393826,0.717819289878113,0.13851323407775,0.255920683069318,0.192307692307692,0.218788452774296,0.0109524238601549,0.446488076902169,0.278896103896104,0.381980519480519,0.164564479638009,0.336986173393124,0.383401292335116,0.0125727866904337,0.266238839285714,0.198754940711462,0.270480225988701,0,0.805123339658444,0.314387321110409,0.17486170212766,0.207129859387924,0.696767355590885,0.200164835164835,0.31613328495404,0.24272342023388,0.278812303547373,0.0378939978939978,0.50610750695088,0.421621621621622,0.460526315789474,0.288888888888889,0.398515625,0.440227010117521,0.0375117924528302,0.326550235478807,0.248996777624331,0.328006715506715,0.0117647058823529,0.870171763720151,0.389532367614354,0.29789100410601,0.268378048780488
"9","cio",0.821460880195599,0.112193816882167,0.709810329289911,0.1260599423193,0.338049419013762,0.05410665823446,0,0.110119035228058,0.12245526102803,0.20711967310234,0.118953805981134,0.318581818803385,0.411607966143606,0.115844934614562,0.135185283127518,0.314385598178602,0,0.05753566525783,0.158166976703978,0.147050926402192,0.115517974083203,0.811735941320293,0.139430147058824,0.768578296703297,0.14314243834138,0.375399681479893,0.0733238636363636,0,0.133203959414098,0.147815899378399,0.260104669887279,0.150174049491379,0.351628212616822,0.5,0.138112745098039,0.156994736842105,0.346879528985507,0,0.0731194887325198,0.18712053285513,0.196428571428571,0.146868686868687,0.830715158924205,0.0818284540318439,0.652873563218391,0.102837687017375,0.312166666666667,0.0355952800281789,0,0.0835000551146385,0.0935914634146342,0.14942871336314,0.0959208701241585,0.285385338345865,0.314764267990075,0.0944228154739835,0.113970305592927,0.283601694915254,0,0.0411854342088727,0.130264281061168,0.0970283018867925,0.0843373493975904,0.81231662591687,0.131483648881239,0.762909604519774,0.142277226131945,0.373821498505617,0.0698084815321478,0,0.129512810559006,0.144381749787647,0.258092324805339,0.142183969876277,0.345378504003112,0.485606060606061,0.133965354330709,0.153609243096294,0.340323119679167,0,0.0718050065876153,0.182262896825397,0.193010752688172,0.138221982758621
"10","south_asia",0.719471890971039,0.124872519816279,0.0163220108963378,0.0926561985745037,0.30766799950767,0.0237528743058454,0.273493325292023,0.0489347430054711,0.847428647387563,0.0413228144988106,0.203220966000952,0.51387802347198,0.0105038740148936,0.047979997013967,0.180603798887043,0.521134614476342,0.269607164744685,0.310564559708161,0.279083328498168,0.0443207413541196,0.386774750392308,0.705281090289608,0.155880809595202,0.0257719233603537,0.111314363143632,0.335851318944844,0.0374039133473095,0.299180327868853,0.0697986778846154,0.871491272272837,0.0714285714285714,0.241766169154229,0.557636363636364,0.0176253687315635,0.0619045911047347,0.203428351309707,0.56466115005938,0.302024637057087,0.348009075610049,0.347274590163934,0.0769230769230769,0.425428489811464,0.729755820556502,0.0950331624962315,0.00721605131414271,0.074578853046595,0.277184608915055,0.008542199488491,0.245920151193007,0.024091935483871,0.826794366002215,0,0.17068331643002,0.469668354101765,0,0.0352159226691995,0.15596547314578,0.493398938522778,0.239791479484876,0.271414333249623,0.215146115466857,0,0.34768690349947,0.708688245315162,0.154545454545455,0.0254237288135594,0.108012491106016,0.330978934324659,0.0363636363636364,0.296598673489808,0.0672410846530704,0.867143983332395,0.0689655172413793,0.230884904569115,0.552769858909934,0.0172565033272838,0.0597582430055047,0.202571038394874,0.554803493449782,0.298560992505825,0.338992754957942,0.333830845771144,0.0740740740740741,0.422297551789077
"11","pns",0.607448478900883,0.291313502286669,0.666643423222861,0.295310856664589,0.475514384326811,0.158054854235854,0.198013998317439,0.608958712715121,0.285263581655134,0.368547089934,0.602906104249408,0.335232147344675,0.551890480509855,0.399538606422869,0.231216994707915,0.393014649785189,0.145087996328154,0.605022008570132,0.829948627825495,0.375490391803156,0.362072101270739,0.596172718351325,0.329113788487282,0.725783699059561,0.337724329324699,0.501351543838889,0.18735504826665,0.219748333796168,0.653344696969697,0.352717391304348,0.412551220575414,0.636683437653489,0.371943115975352,0.630965909090909,0.430776522164132,0.25830258302583,0.42367530592302,0.169262568140521,0.63754500450045,0.854722222222222,0.415914735099338,0.403588243686688,0.619259077526987,0.262550977172819,0.6,0.263217327459618,0.445175438596491,0.129671398178313,0.171497381780389,0.567731173792454,0.226979166666667,0.327592954990215,0.571119442658622,0.297024033634538,0.476190476190476,0.360967619303189,0.196897220426632,0.355302254098361,0.118743525755721,0.566078272772524,0.796982820074137,0.334395973154362,0.330455183861083,0.597129538763494,0.324487282463186,0.722222222222222,0.325188356164383,0.500063938618926,0.185450020376084,0.21744127936032,0.643818571046294,0.340936807095344,0.409803486997636,0.632305481874447,0.369099175103112,0.622222222222222,0.429170188190219,0.253107622583002,0.420854658792651,0.163723667905824,0.633931824095759,0.85295716112532,0.410635845418727,0.393348592037731
"12","indo",0.565695431472081,0.274670074178989,0.527647160538855,0.375953374507543,0.578923938774633,0.184735349534248,0.470874303587659,0.603487258769444,0.551108553279491,0.257423634963836,0.357310639712699,0.356795159793625,0.344384806692803,0.52127957200588,0.41538480832275,0.52777875529703,0.263665171028458,0.486693068688785,0.705628041147717,0.226343749970206,0.480835248361226,0.556053299492386,0.309439067222086,0.572061228197674,0.405140088476933,0.603124064828086,0.222316725197542,0.496875,0.645653409090909,0.603812238353968,0.291371327222501,0.399559312396116,0.388164217071792,0.398183760683761,0.547946330777656,0.456466538400793,0.570195035460993,0.298667711598746,0.528424401197605,0.739844302901628,0.260511435033928,0.52101651763537,0.576167512690355,0.249339425350064,0.4800880070658,0.339420518789491,0.546320656420943,0.150170291213598,0.444516385885508,0.570352016404648,0.499656960510571,0.217758739877543,0.317563486616335,0.321668305876568,0.288349514563107,0.498954183266932,0.380571266968326,0.486853448275862,0.232470089353324,0.428047342814371,0.658734567901235,0.188807260155575,0.446039438502674,0.557842639593909,0.305593093093093,0.567267508610792,0.401092676116838,0.599462722112889,0.216020895522388,0.493067207307979,0.640405058245117,0.6,0.288079807021623,0.392401960784314,0.383795584110035,0.386363636363636,0.544436369142252,0.445255019585285,0.558795045045045,0.294683441558442,0.52331679947959,0.736245477426459,0.258641462401329,0.513954880294659
"13","cosea",0.718188653451811,0.150862765333283,0.33,0.144504689468429,0.313828882351379,0.0559903885786964,0,0,0.529299508688208,0.231779883294418,0.481683042697563,0.326451109202242,0.964791889878758,0.140004784656483,0.0769157515470886,0.37104777066857,0,0.990581075302801,0.0952755459804515,0.458068001053834,0.123619202856493,0.7053998632946,0.172910839160839,0.5,0.170261766926756,0.338426297384038,0.0779324229691877,0,0,0.56701607267645,0.317045454545455,0.509752216412821,0.357734826080834,0.96969696969697,0.160375874125874,0.0924720490951834,0.407465304254995,0,0.991379310344828,0.126582278481013,0.537156593406593,0.154265886994505,0.729682159945318,0.12807881773399,0,0.11947782023344,0.289611872146119,0.036144578313253,0,0,0.495415193708968,0.142857142857143,0.454513174649819,0.294636215555857,0.957382246376812,0.121213450292398,0.0573533447684391,0.33538961038961,0,0.989583333333333,0.0595238095238095,0.357142857142857,0.0910434643656121,0.707416267942584,0.171309912854031,0.5,0.164816659059159,0.332642056106623,0.0737122352124089,0,0,0.565730458221024,0.315789473684211,0.507828379065041,0.356617647058823,0.96969696969697,0.15717032967033,0.0899797634067431,0.404004081632653,0,0.991308095952024,0.125079113924051,0.533452380952381,0.14972404055962
